21 | 올리브 리얼 클렌징 티슈 대용량 80매 | 9,500 | 30 | 4.70 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
22 | 마이메이크업클렌저 멜팅 밤 80ml | 12,000 | 1 | 3.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
23 | [온라인한정] 마이 리얼 스퀴즈 스페셜 세트 | 20,000 | 22 | 4.82 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
24 | 한란 슬리핑 마스크 80ml | 16,000 | 2 | 4.50 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
25 | 올리브 모이스처 핸드크림 50ml | 6,000 | 103 | 4.67 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
26 | 트윙클 글리터 [홀로그램] (4종 택1) | 9,000 | 55 | 4.64 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
27 | 마이 컨실러 와이드 커버(6종택1) | 10,000 | 22 | 4.50 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
29 | 카멜리아 새치 커버 크림 | 9,000 | 47 | 1.02 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
30 | 그린 네일 (20종 택1) | 5,000 | 164 | 4.55 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
31 | 제주 용암해수 이펙터 (5종 택1) | 5,000 | 47 | 4.62 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
