34 | 4 | 19′ 이니스프리 포레스트 올인원 에센스 100mL (4종 택1) | 25,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 58 | 94.0
35 | 4 | 19 이니스프리 리얼핏 립스틱(10종 택1) | 13,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 19 | 98.0
36 | 4 | 이니스프리 비자 럭키박스+(증정)미키 파우치 | 22,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 6 | 80.0
37 | 4 | 19′ 이니스프리 애플씨드 립앤아이 메이크업 리무버 100mL | 6,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 39 | 92.0
38 | 4 | 이니스프리 애플 씨드 클렌징 오일 (대용량) 300mL | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/11(화) 도착예정 | null | 2 | 100.0
39 | 4 | 19 이니스프리 비비드 슬림핏 틴트(1~7호) | 9,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 70.0
40 | 4 | 19 이니스프리 그린티 밸런싱 크림 50mL | 17,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 52 | 98.0
41 | 4 | 이니스프리 19 리얼 헤어 메이크업 젤리 컨실러(1호~3호) | 12,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 33 | 92.0
42 | 4 | 19′ 이니스프리 스키니 브로우카라 (2호~5호) | 6,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 7 | 94.0
43 | 4 | 이니스프리 국화 여성 청결제 | 9,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 198 | 92.0
44 | 4 | (미키LTD) 이니스프리 자연발효 에너지 에센스 세트+미키 저금통 | 38,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 60.0
45 | 4 | 19 이니스프리 비비드 오일 틴트 (1호~10호) | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 4 | 70.0
